Gene Index Number,Frequency
2333,167
2346,166
2336,163
2544,163
2363,162
2414,162
2330,160
2410,160
2374,160
2340,158
2384,157
2439,156
2371,156
2353,156
2825,156
2417,155
2794,155
2309,154
2311,154
2312,154
2315,154
2321,154
2324,154
2263,153
2634,153
2310,152
2317,152
2319,152
2334,152
2521,152
2356,151
2341,150
2313,150
2435,148
2921,147
2446,147
2594,145
2459,144
2328,144
2466,144
2568,144
2723,142
3200,141
2462,141
2655,139
2288,139
3144,138
2901,138
2644,137
2646,137
2667,137
2668,137
2670,137
2415,136
2893,134
2659,134
2713,134
3140,133
2682,132
2551,132
2553,132
2834,131
2660,131
2421,130
2380,129
2877,129
2936,129
2985,129
3158,128
2571,128
3262,128
3270,128
3277,128
3279,128
3282,128
2289,127
2616,127
2162,126
2141,126
2253,125
2132,125
2151,125
2152,125
2153,125
2358,125
2699,125
2189,125
2224,125
2230,125
2821,125
2654,125
2565,125
2687,124
3036,124
2372,123
2678,123
2689,122
3143,122
2365,122
2512,122
2917,122
3353,122
2486,121
2888,121
2993,121
3524,121
3009,121
2676,120
3255,120
3296,120
3305,120
3308,120
3312,120
3315,120
2742,119
2640,119
2827,119
2150,119
2155,119
2156,119
2157,119
2610,118
2484,118
2249,117
3032,117
3048,117
3377,117
2265,117
2603,117
2080,116
2154,116
3475,116
3746,116
3424,116
3012,116
2727,115
2600,115
2784,115
3199,115
3095,115
3342,114
3418,114
2666,114
2705,114
2774,114
3219,114
2945,113
2871,113
3103,113
3074,113
2802,113
2925,113
2681,112
2930,112
2572,112
2954,112
3215,111
2148,111
3107,110
3110,110
3111,110
3124,110
3179,110
3188,110
3595,110
3049,110
2963,110
2120,109
2898,109
2724,109
2574,108
2690,108
2984,108
3261,108
3329,108
3348,108
2226,108
3045,108
2845,108
3849,108
2810,107
3544,107
3073,107
3396,107
3116,107
3070,107
2929,107
2949,107
3038,107
3047,107
3054,107
3129,106
3135,106
3138,106
3145,106
3147,106
3191,106
3194,106
3250,106
2770,106
2812,106
2589,106
2885,106
2890,106
2897,106
2902,106
2739,105
2806,105
2737,105
2803,104
2913,104
3114,104
3040,104
3242,104
2882,104
2953,103
2621,103
2238,103
2765,103
2981,103
2418,103
3075,103
3115,103
3133,103
3181,102
3178,102
2820,102
3076,102
2872,102
2957,102
3185,102
3532,101
3541,101
3632,101
2715,101
2717,101
3007,101
3291,101
2613,100
3676,100
2895,100
3226,100
3119,99
3149,99
2726,99
2391,99
3090,99
3567,99
3367,99
2854,98
3214,98
2581,98
3378,98
3062,98
2042,97
2819,97
2940,97
3030,97
2532,96
2754,96
3594,96
2210,96
2212,96
2213,96
2886,96
2878,95
2596,95
2795,95
3349,95
2914,95
2798,95
2779,94
2055,94
